region_id,region_name,sto_type,rate_rub_per_hour
44,Ставропольский край,dealer,3000
45,Республика Башкортостан,private,800
45,Республика Башкортостан,independent,1500
45,Республика Башкортостан,dealer,3500
46,Республика Марий Эл,private,750
46,Республика Марий Эл,independent,1400
46,Республика Марий Эл,dealer,3300
47,Республика Мордовия,private,750
47,Республика Мордовия,independent,1400
47,Республика Мордовия,dealer,3300
48,Республика Татарстан,private,850
48,Республика Татарстан,independent,1600
48,Республика Татарстан,dealer,3700
49,Удмуртская Республика,private,750
49,Удмуртская Республика,independent,1400
49,Удмуртская Республика,dealer,3300
50,Чувашская Республика,private,750
50,Чувашская Республика,independent,1400
50,Чувашская Республика,dealer,3300
51,Кировская область,private,750
51,Кировская область,independent,1400
51,Кировская область,dealer,3300
52,Нижегородская область,private,800
52,Нижегородская область,independent,1500
52,Нижегородская область,dealer,3500
53,Оренбургская область,private,750
53,Оренбургская область,independent,1400
53,Оренбургская область,dealer,3300
54,Пензенская область,private,750
54,Пензенская область,independent,1400
54,Пензенская область,dealer,3300
55,Пермский край,private,800
55,Пермский край,independent,1500
55,Пермский край,dealer,3500
56,Самарская область,private,800
56,Самарская область,independent,1500
56,Самарская область,dealer,3500
57,Саратовская область,private,800
57,Саратовская область,independent,1500
57,Саратовская область,dealer,3500
58,Ульяновская область,private,750
58,Ульяновская область,independent,1400
58,Ульяновская область,dealer,3300
59,Курганская область,private,800
59,Курганская область,independent,1500
59,Курганская область,dealer,3500
60,Свердловская область,private,900
60,Свердловская область,independent,1650
60,Свердловская область,dealer,3850
61,Тюменская область,private,900
61,Тюменская область,independent,1650
61,Тюменская область,dealer,3850
62,Ханты-Мансийский АО — Югра,private,950
62,Ханты-Мансийский АО — Югра,independent,1800
62,Ханты-Мансийский АО — Югра,dealer,4200
63,Челябинская область,private,850
63,Челябинская область,independent,1600
63,Челябинская область,dealer,3700
64,Ямало-Ненецкий АО,private,950
64,Ямало-Ненецкий АО,independent,1800
64,Ямало-Ненецкий АО,dealer,4200
65,Республика Алтай,private,700
65,Республика Алтай,independent,1350
65,Республика Алтай,dealer,3150
66,Алтайский край,private,800
66,Алтайский край,independent,1500
66,Алтайский край,dealer,3500
67,Иркутская область,private,800
67,Иркутская область,independent,1500
67,Иркутская область,dealer,3500
68,Кемеровская область — Кузбасс,private,800
68,Кемеровская область — Кузбасс,independent,1500
68,Кемеровская область — Кузбасс,dealer,3500
69,Красноярский край,private,800
69,Красноярский край,independent,1500
69,Красноярский край,dealer,3500
70,Новосибирская область,private,800
70,Новосибирская область,independent,1500
70,Новосибирская область,dealer,3500
71,Омская область,private,750
71,Омская область,independent,1400
71,Омская область,dealer,3300
72,Томская область,private,750
72,Томская область,independent,1400
72,Томская область,dealer,3300
73,Республика Тыва,private,700
73,Республика Тыва,independent,1300
73,Республика Тыва,dealer,3000
74,Республика Хакасия,private,750
74,Республика Хакасия,independent,1400
74,Республика Хакасия,dealer,3300
75,Республика Бурятия,private,950
75,Республика Бурятия,independent,1800
75,Республика Бурятия,dealer,4200
76,Республика Саха (Якутия),private,950
76,Республика Саха (Якутия),independent,1800
76,Республика Саха (Якутия),dealer,4200
77,Забайкальский край,private,950
77,Забайкальский край,independent,1800
77,Забайкальский край,dealer,4200
78,Камчатский край,private,1000
78,Камчатский край,independent,1900
78,Камчатский край,dealer,4400
79,Приморский край,private,950
79,Приморский край,independent,1800
79,Приморский край,dealer,4200
80,Хабаровский край,private,950
80,Хабаровский край,independent,1800
80,Хабаровский край,dealer,4200
81,Амурская область,private,950
81,Амурская область,independent,1800
81,Амурская область,dealer,4200
82,Магаданская область,private,1100
82,Магаданская область,independent,2050
82,Магаданская область,dealer,4700
83,Сахалинская область,private,1000
83,Сахалинская область,independent,1900
83,Сахалинская область,dealer,4400
84,Еврейская АО,private,900
84,Еврейская АО,independent,1700
84,Еврейская АО,dealer,4000
85,Чукотский АО,private,1050
85,Чукотский АО,independent,1950
85,Чукотский АО,dealer,4550
