segment,brand_tier,age_year_bucket,annual_depreciation_pct,source_note,valid_from
A_B,russian,1,17.00,AAA YDC + Автостат RU baseline; A/B economy correction,2026-04-28
J_CROSS,japanese_korean_mass,1,17.00,KBB 5YCTO + Auto.ru JP/KR mass; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,japanese_korean_mass,2,11.00,KBB 5YCTO + Auto.ru JP/KR mass; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,japanese_korean_mass,3,9.00,KBB 5YCTO + Auto.ru JP/KR mass; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,japanese_korean_mass,4,8.00,KBB 5YCTO + Auto.ru JP/KR mass; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,japanese_korean_mass,5,7.00,KBB 5YCTO + Auto.ru JP/KR mass; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,chinese,1,22.00,Drom CN-EV review 2024-2025; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,chinese,2,15.00,Drom CN-EV review 2024-2025; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,chinese,3,12.00,Drom CN-EV review 2024-2025; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,chinese,4,11.00,Drom CN-EV review 2024-2025; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,chinese,5,10.00,Drom CN-EV review 2024-2025; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,premium,1,25.00,AAA YDC + KBB premium; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,premium,2,17.00,AAA YDC + KBB premium; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,premium,3,12.00,AAA YDC + KBB premium; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,premium,4,10.00,AAA YDC + KBB premium; J_CROSS unibody (= C_D),2026-04-28
J_CROSS,premium,5,9.00,AAA YDC + KBB premium; J_CROSS unibody (= C_D),2026-04-28
LCV,russian,1,19.00,AAA YDC + Автостат RU baseline; LCV commercial wear correction,2026-04-28
LCV,russian,2,12.00,AAA YDC + Автостат RU baseline; LCV commercial wear correction,2026-04-28
LCV,russian,3,9.00,AAA YDC + Автостат RU baseline; LCV commercial wear correction,2026-04-28
LCV,russian,4,8.00,AAA YDC + Автостат RU baseline; LCV commercial wear correction,2026-04-28
LCV,russian,5,6.00,AAA YDC + Автостат RU baseline; LCV commercial wear correction,2026-04-28
LCV,mass,1,21.00,KBB 5YCTO + Auto.ru EU mass; LCV commercial wear correction,2026-04-28
LCV,mass,2,14.00,KBB 5YCTO + Auto.ru EU mass; LCV commercial wear correction,2026-04-28
LCV,mass,3,11.00,KBB 5YCTO + Auto.ru EU mass; LCV commercial wear correction,2026-04-28
LCV,mass,4,10.00,KBB 5YCTO + Auto.ru EU mass; LCV commercial wear correction,2026-04-28
LCV,mass,5,8.00,KBB 5YCTO + Auto.ru EU mass; LCV commercial wear correction,2026-04-28
LCV,japanese_korean_mass,1,20.00,KBB 5YCTO + Auto.ru JP/KR mass; LCV commercial wear correction,2026-04-28
LCV,japanese_korean_mass,2,13.00,KBB 5YCTO + Auto.ru JP/KR mass; LCV commercial wear correction,2026-04-28
LCV,japanese_korean_mass,3,10.00,KBB 5YCTO + Auto.ru JP/KR mass; LCV commercial wear correction,2026-04-28
LCV,japanese_korean_mass,4,9.00,KBB 5YCTO + Auto.ru JP/KR mass; LCV commercial wear correction,2026-04-28
LCV,japanese_korean_mass,5,7.00,KBB 5YCTO + Auto.ru JP/KR mass; LCV commercial wear correction,2026-04-28
LCV,chinese,1,25.00,Drom CN-EV review 2024-2025; LCV commercial wear correction,2026-04-28
LCV,chinese,2,17.00,Drom CN-EV review 2024-2025; LCV commercial wear correction,2026-04-28
LCV,chinese,3,13.00,Drom CN-EV review 2024-2025; LCV commercial wear correction,2026-04-28
LCV,chinese,4,12.00,Drom CN-EV review 2024-2025; LCV commercial wear correction,2026-04-28
LCV,chinese,5,10.00,Drom CN-EV review 2024-2025; LCV commercial wear correction,2026-04-28
LCV,premium,1,28.00,AAA YDC + KBB premium; LCV commercial wear correction,2026-04-28
LCV,premium,2,19.00,AAA YDC + KBB premium; LCV commercial wear correction,2026-04-28
LCV,premium,3,13.00,AAA YDC + KBB premium; LCV commercial wear correction,2026-04-28
LCV,premium,4,11.00,AAA YDC + KBB premium; LCV commercial wear correction,2026-04-28
LCV,premium,5,9.00,AAA YDC + KBB premium; LCV commercial wear correction,2026-04-28
