id,model_id,name,year_from,year_to,restyling
208,208,I,2019,,0
209,209,I,2021,,0
210,210,I,2021,,0
211,211,I,2020,,0
212,212,I,2020,,0
213,213,I,2024,,0
214,214,I,2017,,0
215,215,I,2020,,0
216,216,I,2020,,0
217,217,I,2022,,0
218,218,I,2022,,0
219,219,I,2024,,0
220,220,I,2020,,0
221,221,I,2018,,0
222,222,I,2019,,0
223,223,I,2020,,0
224,224,I,2014,,0
225,225,I,2017,,0
226,226,I,2021,,0
227,227,I,2007,,0
228,228,I,2005,,0
229,229,I,2019,,0
230,230,I,2018,,0
231,231,I,2019,,0
232,232,I,2019,,0
233,233,I,2017,,0
234,234,I,2021,,0
235,235,I,2022,,0
236,236,I,2018,,0
237,237,I,2024,,0
238,238,I,2020,,0
239,239,I,2020,,0
240,240,I,2021,,0
241,241,I,2023,,0
242,242,I,2024,,0
243,243,I,2022,,0
244,244,I,2022,,0
245,245,I,2024,,0
246,246,I,2023,,0
247,247,I,2023,,0
248,248,I,2020,,0
249,249,I,2021,,0
250,250,I,2024,,0
251,251,I,2017,,0
252,252,I,2020,,0
253,253,I,2019,,0
254,254,I,2020,,0
255,255,I,2019,,0
256,256,I,2020,,0
257,257,I,2017,,0
258,258,I,2020,,0
259,259,I,2020,,0
260,260,I,2022,,0
261,261,I,2017,,0
262,262,I,2023,,0
263,263,I,2014,,0
264,264,I,2022,,0
265,265,I,2016,,0
266,266,I,2017,,0
267,267,I,2020,,0
268,268,I,2020,,0
269,269,I,2020,,0
270,270,I,2020,,0
271,271,I,2020,,0
272,272,I,2018,,0
273,273,I,2022,,0
274,274,I,2022,,0
275,275,I,2023,,0
276,276,I,2011,,0
277,277,I,2008,,0
278,278,I,2010,,0
279,279,I,2012,,0
280,280,I,2014,,0
281,281,I,2016,,0
282,282,I,2021,,0
283,283,I,2018,,0
284,284,I,2019,,0
285,285,I,2016,,0
286,286,I,2013,,0
287,287,I,2022,,0
288,288,I,2022,,0
289,289,I,2024,,0
290,290,I,2023,,0
291,291,I,2022,,0
292,292,I,2022,,0
293,293,I,2019,,0
294,294,I,2024,,0
295,295,I,2021,,0
296,296,I,2024,,0
297,297,I,2022,,0
298,298,I,2023,,0
299,299,I,2022,,0
300,300,I,2024,,0
301,301,I,2022,,0
302,302,I,2022,,0
303,303,I,2023,,0
304,304,I,2019,,0
305,305,I,2022,,0
306,306,I,2020,,0
307,307,I,2018,,0
308,308,I,2022,,0
309,309,I,2021,,0
310,310,I,2021,,0
311,311,I,2022,,0
312,312,I,2024,,0
313,313,I,2023,,0
314,314,I,2021,,0
315,315,I,2023,,0
316,316,I,2022,,0
317,317,I,2018,,0
318,318,I,2017,,0
319,319,I,2022,,0
320,320,I,2020,,0
321,321,I,2017,,0
322,322,I,2018,,0
323,323,I,2017,,0
324,324,I,2020,,0
325,325,I,2019,,0
326,326,I,2021,,0
327,327,I,2018,,0
328,328,I,2020,,0
329,329,I,2023,,0
330,330,I,2017,,0
331,331,I,2022,,0
332,332,I,2018,,0
333,333,I,2022,,0
334,334,I,2023,,0
335,335,I,2024,,0
336,336,I,2018,,0
337,337,I,2018,,0
338,338,I,2019,,0
339,339,I,2018,,0
340,340,I,2018,,0
341,341,I,2020,,0
342,342,I,2024,,0
343,343,I,2021,,0
344,344,I,2021,,0
345,345,I,2018,,0
346,346,I,2018,,0
347,347,I,2021,,0
348,348,I,2023,,0
349,349,I,2020,,0
350,350,I,2019,,0
351,351,I,2018,,0
352,352,I,2020,,0
353,353,I,2019,,0
354,354,I,2022,,0
355,355,I,2018,,0
356,356,I,2019,,0
357,357,I,2018,,0
358,358,I,2014,,0
359,359,I,2021,,0
360,360,I,2014,,0
361,361,I,2018,,0
362,362,I,2020,,0
363,363,I,2015,,0
364,364,I,2016,,0
365,365,I,2018,,0
366,366,I,2018,,0
367,367,I,2017,,0
368,368,I,2018,,0
369,369,I,2017,,0
370,370,I,2015,,0
371,371,I,2018,,0
372,372,I,2018,,0
373,373,I,2019,,0
374,374,I,2018,,0
375,375,I,2016,,0
376,376,I,2016,,0
377,377,I,2017,,0
378,378,I,2014,,0
379,379,I,2023,,0
380,380,I,2019,,0
381,381,I,2018,,0
382,382,I,2013,,0
383,383,I,2017,,0
384,384,I,2021,,0
385,385,I,2022,,0
386,386,I,2023,,0
387,387,I,2021,,0
388,388,I,2018,,0
389,389,I,2014,,0
390,390,I,2019,,0
391,391,I,2017,,0
392,392,I,2019,,0
393,393,I,2021,,0
394,394,I,2022,,0
395,395,I,2017,,0
396,396,I,2018,,0
397,397,I,2006,,0
398,398,I,2020,,0
399,399,I,2016,,0
400,400,I,2015,,0
401,401,I,2018,,0
402,402,I,2016,,0
403,403,I,2018,,0
404,404,I,2016,,0
405,405,I,2017,,0
406,406,I,2017,,0
407,407,I,2014,,0
408,408,I,2017,,0
409,409,I,2021,,0
410,410,I,2013,,0
411,411,I,2010,,0
412,412,I,2013,,0
413,413,I,2014,,0
414,414,I,2016,,0
415,415,I,2017,,0
416,416,I,2018,,0
417,417,I,2015,,0
418,418,I,2015,,0
419,419,I,2009,,0
420,420,I,2013,,0
421,421,I,2017,,0
422,422,I,2020,,0
423,423,I,2022,,0
424,424,I,2020,,0
425,425,I,2020,,0
426,426,I,2021,,0
427,427,I,2021,,0
428,428,I,2017,,0
429,429,I,2021,,0
430,430,I,2020,,0
431,431,I,2023,,0
432,432,I,2019,,0
433,433,I,2017,,0
434,434,I,2024,,0
435,435,I,2019,,0
436,436,I,2018,,0
437,437,I,2015,,0
438,438,I,2019,,0
439,439,I,2010,,0
440,440,I,2017,,0
441,441,I,2020,,0
442,442,I,2018,,0
443,443,I,2023,,0
444,444,I,2013,,0
445,445,I,2016,,0
446,446,I,2018,,0
447,447,I,2018,,0
448,448,I,2019,,0
449,449,I,2010,,0
450,450,I,2021,,0
451,451,I,2019,,0
452,452,I,2019,,0
453,453,I,2019,,0
454,454,I,2022,,0
455,455,I,2017,,0
456,456,I,2017,,0
457,457,I,2014,,0
458,458,I,2011,,0
459,459,I,2017,,0
460,460,I,2023,,0
461,461,I,2013,,0
462,462,I,2013,,0
463,463,I,2016,,0
464,464,I,2022,,0
465,465,I,2020,,0
466,466,I,2017,,0
467,467,I,2019,,0
468,468,I,2021,,0
469,469,I,2016,,0
470,470,I,2021,,0
471,471,I,2022,,0
472,472,I,2020,,0
473,473,I,2021,,0
474,474,I,2018,,0
475,475,I,2015,,0
476,476,I,2016,,0
477,477,I,2022,,0
478,478,I,2019,,0
479,479,I,2021,,0
480,480,I,2017,,0
