generation_id,operation_id,every_km,every_months,source
7,31,,6,template_crossover
7,32,,24,template_crossover
8,1,15000,12,template_mid_size
8,2,80000,60,template_mid_size
8,4,120000,60,template_mid_size
8,5,60000,24,template_mid_size
8,6,120000,84,template_mid_size
8,9,15000,12,template_mid_size
8,10,30000,24,template_mid_size
8,11,15000,12,template_mid_size
8,12,60000,48,template_mid_size
8,13,50000,,template_mid_size
8,14,70000,,template_mid_size
8,15,100000,,template_mid_size
8,18,100000,72,template_mid_size
8,19,80000,60,template_mid_size
8,21,60000,60,template_mid_size
8,23,,48,template_mid_size
8,25,,12,template_mid_size
8,26,,12,template_mid_size
8,28,15000,12,template_mid_size
8,30,20000,,template_mid_size
8,31,,6,template_mid_size
8,32,,24,template_mid_size
9,1,15000,12,template_economy
9,4,80000,60,template_economy
9,5,60000,24,template_economy
9,9,15000,12,template_economy
9,10,30000,24,template_economy
9,11,15000,12,template_economy
9,12,60000,48,template_economy
9,13,40000,,template_economy
9,14,60000,,template_economy
9,15,80000,,template_economy
9,18,90000,72,template_economy
9,19,60000,60,template_economy
9,21,30000,36,template_economy
9,23,,48,template_economy
9,25,,12,template_economy
9,26,,12,template_economy
9,28,15000,12,template_economy
9,30,20000,,template_economy
9,31,,6,template_economy
9,32,,24,template_economy
10,1,15000,12,template_economy
10,4,80000,60,template_economy
10,5,60000,24,template_economy
10,9,15000,12,template_economy
10,10,30000,24,template_economy
10,11,15000,12,template_economy
10,12,60000,48,template_economy
10,13,40000,,template_economy
10,14,60000,,template_economy
10,15,80000,,template_economy
10,18,90000,72,template_economy
10,19,60000,60,template_economy
10,21,30000,36,template_economy
10,23,,48,template_economy
10,25,,12,template_economy
10,26,,12,template_economy
10,28,15000,12,template_economy
10,30,20000,,template_economy
10,31,,6,template_economy
10,32,,24,template_economy
11,1,10000,12,template_suv
11,2,60000,48,template_suv
11,3,60000,60,template_suv
11,4,60000,36,template_suv
11,5,40000,24,template_suv
11,7,40000,36,template_suv
11,9,10000,12,template_suv
11,10,15000,24,template_suv
11,11,15000,12,template_suv
11,12,40000,48,template_suv
11,13,40000,,template_suv
11,14,60000,,template_suv
11,15,80000,,template_suv
11,18,90000,72,template_suv
11,19,60000,60,template_suv
11,21,30000,36,template_suv
11,23,,36,template_suv
11,25,,12,template_suv
11,26,,12,template_suv
11,28,10000,12,template_suv
11,29,20000,,template_suv
11,30,15000,,template_suv
11,31,,6,template_suv
11,32,,24,template_suv
12,1,10000,12,template_suv
12,2,60000,48,template_suv
12,3,60000,60,template_suv
12,4,60000,36,template_suv
12,5,40000,24,template_suv
12,7,40000,36,template_suv
12,9,10000,12,template_suv
12,10,15000,24,template_suv
12,11,15000,12,template_suv
12,12,40000,48,template_suv
12,13,40000,,template_suv
12,14,60000,,template_suv
12,15,80000,,template_suv
12,18,90000,72,template_suv
12,19,60000,60,template_suv
12,21,30000,36,template_suv
12,23,,36,template_suv
12,25,,12,template_suv
12,26,,12,template_suv
12,28,10000,12,template_suv
12,29,20000,,template_suv
12,30,15000,,template_suv
12,31,,6,template_suv
12,32,,24,template_suv
13,1,10000,12,template_lcv
13,3,60000,60,template_lcv
13,4,60000,48,template_lcv
13,5,40000,24,template_lcv
13,9,10000,12,template_lcv
13,10,20000,24,template_lcv
13,11,10000,12,template_lcv
13,12,40000,48,template_lcv
13,13,30000,,template_lcv
13,14,50000,,template_lcv
13,15,60000,,template_lcv
13,18,80000,60,template_lcv
13,19,60000,60,template_lcv
13,21,30000,36,template_lcv
13,23,,36,template_lcv
13,25,,12,template_lcv
13,26,,12,template_lcv
13,28,10000,12,template_lcv
13,29,20000,,template_lcv
13,30,20000,,template_lcv
13,31,,6,template_lcv
14,1,10000,12,template_suv
14,2,60000,48,template_suv
14,3,60000,60,template_suv
14,4,60000,36,template_suv
14,5,40000,24,template_suv
14,7,40000,36,template_suv
14,9,10000,12,template_suv
14,10,15000,24,template_suv
14,11,15000,12,template_suv
14,12,40000,48,template_suv
14,13,40000,,template_suv
14,14,60000,,template_suv
14,15,80000,,template_suv
14,18,90000,72,template_suv
14,19,60000,60,template_suv
14,21,30000,36,template_suv
14,23,,36,template_suv
14,25,,12,template_suv
14,26,,12,template_suv
14,28,10000,12,template_suv
14,29,20000,,template_suv
14,30,15000,,template_suv
14,31,,6,template_suv
14,32,,24,template_suv
15,1,10000,12,template_lcv
15,3,60000,60,template_lcv
15,4,60000,48,template_lcv
15,5,40000,24,template_lcv
15,9,10000,12,template_lcv
15,10,20000,24,template_lcv
15,11,10000,12,template_lcv
15,12,40000,48,template_lcv
15,13,30000,,template_lcv
15,14,50000,,template_lcv
15,15,60000,,template_lcv
15,18,80000,60,template_lcv
15,19,60000,60,template_lcv
15,21,30000,36,template_lcv
15,23,,36,template_lcv
15,25,,12,template_lcv
15,26,,12,template_lcv
15,28,10000,12,template_lcv
15,29,20000,,template_lcv
15,30,20000,,template_lcv
15,31,,6,template_lcv
16,1,10000,12,template_lcv
16,3,60000,60,template_lcv
16,4,60000,48,template_lcv
16,5,40000,24,template_lcv
16,9,10000,12,template_lcv
16,10,20000,24,template_lcv
16,11,10000,12,template_lcv
16,12,40000,48,template_lcv
16,13,30000,,template_lcv
16,14,50000,,template_lcv
16,15,60000,,template_lcv
16,18,80000,60,template_lcv
16,19,60000,60,template_lcv
16,21,30000,36,template_lcv
16,23,,36,template_lcv
16,25,,12,template_lcv
16,26,,12,template_lcv
16,28,10000,12,template_lcv
16,29,20000,,template_lcv
16,30,20000,,template_lcv
16,31,,6,template_lcv
17,1,10000,12,template_lcv
17,3,60000,60,template_lcv
17,4,60000,48,template_lcv
17,5,40000,24,template_lcv
17,9,10000,12,template_lcv
17,10,20000,24,template_lcv
17,11,10000,12,template_lcv
17,12,40000,48,template_lcv
17,13,30000,,template_lcv
17,14,50000,,template_lcv
17,15,60000,,template_lcv
17,18,80000,60,template_lcv
17,19,60000,60,template_lcv
17,21,30000,36,template_lcv
17,23,,36,template_lcv
17,25,,12,template_lcv
17,26,,12,template_lcv
17,28,10000,12,template_lcv
17,29,20000,,template_lcv
17,30,20000,,template_lcv
17,31,,6,template_lcv
18,1,10000,12,template_lcv
18,3,60000,60,template_lcv
18,4,60000,48,template_lcv
18,5,40000,24,template_lcv
18,9,10000,12,template_lcv
18,10,20000,24,template_lcv
18,11,10000,12,template_lcv
18,12,40000,48,template_lcv
18,13,30000,,template_lcv
18,14,50000,,template_lcv
18,15,60000,,template_lcv
18,18,80000,60,template_lcv
18,19,60000,60,template_lcv
18,21,30000,36,template_lcv
18,23,,36,template_lcv
18,25,,12,template_lcv
18,26,,12,template_lcv
18,28,10000,12,template_lcv
18,29,20000,,template_lcv
18,30,20000,,template_lcv
18,31,,6,template_lcv
19,1,15000,12,template_crossover
19,2,60000,48,template_crossover
19,4,80000,48,template_crossover
19,5,60000,24,template_crossover
19,7,60000,60,template_crossover
19,9,15000,12,template_crossover
19,10,30000,24,template_crossover
19,11,15000,12,template_crossover
19,12,60000,48,template_crossover
19,13,50000,,template_crossover
19,14,70000,,template_crossover
19,15,100000,,template_crossover
19,18,100000,72,template_crossover
19,19,80000,60,template_crossover
19,21,60000,60,template_crossover
19,23,,48,template_crossover
19,25,,12,template_crossover
19,26,,12,template_crossover
19,28,15000,12,template_crossover
19,29,30000,,template_crossover
19,30,20000,,template_crossover
19,31,,6,template_crossover
19,32,,24,template_crossover
20,1,15000,12,template_crossover
20,2,60000,48,template_crossover
20,4,80000,48,template_crossover
20,5,60000,24,template_crossover
20,7,60000,60,template_crossover
20,9,15000,12,template_crossover
20,10,30000,24,template_crossover
20,11,15000,12,template_crossover
20,12,60000,48,template_crossover
20,13,50000,,template_crossover
20,14,70000,,template_crossover
20,15,100000,,template_crossover
20,18,100000,72,template_crossover
20,19,80000,60,template_crossover
20,21,60000,60,template_crossover
20,23,,48,template_crossover
20,25,,12,template_crossover
20,26,,12,template_crossover
20,28,15000,12,template_crossover
20,29,30000,,template_crossover
20,30,20000,,template_crossover
20,31,,6,template_crossover
20,32,,24,template_crossover
21,1,15000,12,template_mid_size
21,2,80000,60,template_mid_size
21,4,120000,60,template_mid_size
21,5,60000,24,template_mid_size
21,6,120000,84,template_mid_size
21,9,15000,12,template_mid_size
21,10,30000,24,template_mid_size
21,11,15000,12,template_mid_size
21,12,60000,48,template_mid_size
21,13,50000,,template_mid_size
21,14,70000,,template_mid_size
21,15,100000,,template_mid_size
21,18,100000,72,template_mid_size
21,19,80000,60,template_mid_size
21,21,60000,60,template_mid_size
21,23,,48,template_mid_size
21,25,,12,template_mid_size
21,26,,12,template_mid_size
21,28,15000,12,template_mid_size
21,30,20000,,template_mid_size
21,31,,6,template_mid_size
21,32,,24,template_mid_size
22,1,15000,12,template_crossover
22,2,60000,48,template_crossover
22,4,80000,48,template_crossover
22,5,60000,24,template_crossover
22,7,60000,60,template_crossover
22,9,15000,12,template_crossover
22,10,30000,24,template_crossover
22,11,15000,12,template_crossover
22,12,60000,48,template_crossover
22,13,50000,,template_crossover
22,14,70000,,template_crossover
22,15,100000,,template_crossover
22,18,100000,72,template_crossover
22,19,80000,60,template_crossover
22,21,60000,60,template_crossover
22,23,,48,template_crossover
22,25,,12,template_crossover
22,26,,12,template_crossover
22,28,15000,12,template_crossover
22,29,30000,,template_crossover
22,30,20000,,template_crossover
22,31,,6,template_crossover
22,32,,24,template_crossover
23,1,15000,12,template_mid_size
23,2,80000,60,template_mid_size
23,4,120000,60,template_mid_size
23,5,60000,24,template_mid_size
23,6,120000,84,template_mid_size
23,9,15000,12,template_mid_size
23,10,30000,24,template_mid_size
23,11,15000,12,template_mid_size
23,12,60000,48,template_mid_size
23,13,50000,,template_mid_size
23,14,70000,,template_mid_size
23,15,100000,,template_mid_size
23,18,100000,72,template_mid_size
23,19,80000,60,template_mid_size
23,21,60000,60,template_mid_size
23,23,,48,template_mid_size
23,25,,12,template_mid_size
23,26,,12,template_mid_size
23,28,15000,12,template_mid_size
23,30,20000,,template_mid_size
23,31,,6,template_mid_size
23,32,,24,template_mid_size
24,1,15000,12,template_crossover
24,2,60000,48,template_crossover
24,4,80000,48,template_crossover
24,5,60000,24,template_crossover
24,7,60000,60,template_crossover
24,9,15000,12,template_crossover
24,10,30000,24,template_crossover
24,11,15000,12,template_crossover
24,12,60000,48,template_crossover
24,13,50000,,template_crossover
24,14,70000,,template_crossover
24,15,100000,,template_crossover
24,18,100000,72,template_crossover
24,19,80000,60,template_crossover
24,21,60000,60,template_crossover
24,23,,48,template_crossover
24,25,,12,template_crossover
24,26,,12,template_crossover
24,28,15000,12,template_crossover
24,29,30000,,template_crossover
24,30,20000,,template_crossover
24,31,,6,template_crossover
24,32,,24,template_crossover
25,1,10000,12,template_lcv
25,3,60000,60,template_lcv
25,4,60000,48,template_lcv
25,5,40000,24,template_lcv
25,9,10000,12,template_lcv
25,10,20000,24,template_lcv
25,11,10000,12,template_lcv
25,12,40000,48,template_lcv
25,13,30000,,template_lcv
25,14,50000,,template_lcv
25,15,60000,,template_lcv
25,18,80000,60,template_lcv
25,19,60000,60,template_lcv
25,21,30000,36,template_lcv
25,23,,36,template_lcv
25,25,,12,template_lcv
25,26,,12,template_lcv
25,28,10000,12,template_lcv
25,29,20000,,template_lcv
25,30,20000,,template_lcv
25,31,,6,template_lcv
26,1,10000,12,template_lcv
26,3,60000,60,template_lcv
26,4,60000,48,template_lcv
26,5,40000,24,template_lcv
26,9,10000,12,template_lcv
26,10,20000,24,template_lcv
26,11,10000,12,template_lcv
26,12,40000,48,template_lcv
26,13,30000,,template_lcv
26,14,50000,,template_lcv
26,15,60000,,template_lcv
26,18,80000,60,template_lcv
26,19,60000,60,template_lcv
26,21,30000,36,template_lcv
26,23,,36,template_lcv
26,25,,12,template_lcv
26,26,,12,template_lcv
26,28,10000,12,template_lcv
26,29,20000,,template_lcv
26,30,20000,,template_lcv
26,31,,6,template_lcv
27,1,15000,12,template_mid_size
27,2,80000,60,template_mid_size
27,4,120000,60,template_mid_size
27,5,60000,24,template_mid_size
27,6,120000,84,template_mid_size
27,9,15000,12,template_mid_size
27,10,30000,24,template_mid_size
27,11,15000,12,template_mid_size
27,12,60000,48,template_mid_size
27,13,50000,,template_mid_size
27,14,70000,,template_mid_size
27,15,100000,,template_mid_size
27,18,100000,72,template_mid_size
27,19,80000,60,template_mid_size
27,21,60000,60,template_mid_size
27,23,,48,template_mid_size
27,25,,12,template_mid_size
27,26,,12,template_mid_size
27,28,15000,12,template_mid_size
27,30,20000,,template_mid_size
27,31,,6,template_mid_size
27,32,,24,template_mid_size
28,1,15000,12,template_mid_size
28,2,80000,60,template_mid_size
28,4,120000,60,template_mid_size
28,5,60000,24,template_mid_size
28,6,120000,84,template_mid_size
28,9,15000,12,template_mid_size
28,10,30000,24,template_mid_size
28,11,15000,12,template_mid_size
28,12,60000,48,template_mid_size
28,13,50000,,template_mid_size
28,14,70000,,template_mid_size
28,15,100000,,template_mid_size
28,18,100000,72,template_mid_size
28,19,80000,60,template_mid_size
28,21,60000,60,template_mid_size
28,23,,48,template_mid_size
28,25,,12,template_mid_size
28,26,,12,template_mid_size
28,28,15000,12,template_mid_size
28,30,20000,,template_mid_size
28,31,,6,template_mid_size
28,32,,24,template_mid_size
29,1,15000,12,template_economy
29,4,80000,60,template_economy
29,5,60000,24,template_economy
29,9,15000,12,template_economy
29,10,30000,24,template_economy
29,11,15000,12,template_economy
29,12,60000,48,template_economy
29,13,40000,,template_economy
29,14,60000,,template_economy
29,15,80000,,template_economy
29,18,90000,72,template_economy
29,19,60000,60,template_economy
29,21,30000,36,template_economy
29,23,,48,template_economy
29,25,,12,template_economy
29,26,,12,template_economy
29,28,15000,12,template_economy
29,30,20000,,template_economy
29,31,,6,template_economy
29,32,,24,template_economy
30,1,15000,12,template_economy
30,4,80000,60,template_economy
30,5,60000,24,template_economy
30,9,15000,12,template_economy
30,10,30000,24,template_economy
30,11,15000,12,template_economy
30,12,60000,48,template_economy
30,13,40000,,template_economy
30,14,60000,,template_economy
30,15,80000,,template_economy
30,18,90000,72,template_economy
30,19,60000,60,template_economy
30,21,30000,36,template_economy
30,23,,48,template_economy
30,25,,12,template_economy
30,26,,12,template_economy
30,28,15000,12,template_economy
30,30,20000,,template_economy
30,31,,6,template_economy
30,32,,24,template_economy
31,1,15000,12,template_crossover
31,2,60000,48,template_crossover
31,4,80000,48,template_crossover
31,5,60000,24,template_crossover
31,7,60000,60,template_crossover
31,9,15000,12,template_crossover
31,10,30000,24,template_crossover
31,11,15000,12,template_crossover
31,12,60000,48,template_crossover
31,13,50000,,template_crossover
31,14,70000,,template_crossover
31,15,100000,,template_crossover
31,18,100000,72,template_crossover
31,19,80000,60,template_crossover
31,21,60000,60,template_crossover
31,23,,48,template_crossover
31,25,,12,template_crossover
31,26,,12,template_crossover
31,28,15000,12,template_crossover
31,29,30000,,template_crossover
31,30,20000,,template_crossover
31,31,,6,template_crossover
31,32,,24,template_crossover
32,1,15000,12,template_crossover
32,2,60000,48,template_crossover
32,4,80000,48,template_crossover
32,5,60000,24,template_crossover
32,7,60000,60,template_crossover
32,9,15000,12,template_crossover
32,10,30000,24,template_crossover
32,11,15000,12,template_crossover
32,12,60000,48,template_crossover
32,13,50000,,template_crossover
32,14,70000,,template_crossover
32,15,100000,,template_crossover
32,18,100000,72,template_crossover
32,19,80000,60,template_crossover
32,21,60000,60,template_crossover
32,23,,48,template_crossover
32,25,,12,template_crossover
32,26,,12,template_crossover
32,28,15000,12,template_crossover
32,29,30000,,template_crossover
32,30,20000,,template_crossover
32,31,,6,template_crossover
32,32,,24,template_crossover
33,1,15000,12,template_crossover
33,2,60000,48,template_crossover
33,4,80000,48,template_crossover
33,5,60000,24,template_crossover
33,7,60000,60,template_crossover
33,9,15000,12,template_crossover
33,10,30000,24,template_crossover
33,11,15000,12,template_crossover
33,12,60000,48,template_crossover
33,13,50000,,template_crossover
33,14,70000,,template_crossover
33,15,100000,,template_crossover
33,18,100000,72,template_crossover
33,19,80000,60,template_crossover
33,21,60000,60,template_crossover
33,23,,48,template_crossover
33,25,,12,template_crossover
33,26,,12,template_crossover
33,28,15000,12,template_crossover
33,29,30000,,template_crossover
33,30,20000,,template_crossover
33,31,,6,template_crossover
33,32,,24,template_crossover
34,1,15000,12,template_crossover
34,2,60000,48,template_crossover
34,4,80000,48,template_crossover
34,5,60000,24,template_crossover
34,7,60000,60,template_crossover
34,9,15000,12,template_crossover
34,10,30000,24,template_crossover
34,11,15000,12,template_crossover
34,12,60000,48,template_crossover
34,13,50000,,template_crossover
34,14,70000,,template_crossover
34,15,100000,,template_crossover
34,18,100000,72,template_crossover
34,19,80000,60,template_crossover
34,21,60000,60,template_crossover
34,23,,48,template_crossover
34,25,,12,template_crossover
34,26,,12,template_crossover
34,28,15000,12,template_crossover
34,29,30000,,template_crossover
34,30,20000,,template_crossover
34,31,,6,template_crossover
34,32,,24,template_crossover
35,1,15000,12,template_mid_size
35,2,80000,60,template_mid_size
35,4,120000,60,template_mid_size
35,5,60000,24,template_mid_size
35,6,120000,84,template_mid_size
35,9,15000,12,template_mid_size
35,10,30000,24,template_mid_size
35,11,15000,12,template_mid_size
35,12,60000,48,template_mid_size
35,13,50000,,template_mid_size
35,14,70000,,template_mid_size
35,15,100000,,template_mid_size
35,18,100000,72,template_mid_size
35,19,80000,60,template_mid_size
35,21,60000,60,template_mid_size
35,23,,48,template_mid_size
35,25,,12,template_mid_size
35,26,,12,template_mid_size
35,28,15000,12,template_mid_size
35,30,20000,,template_mid_size
35,31,,6,template_mid_size
35,32,,24,template_mid_size
36,1,15000,12,template_mid_size
36,2,80000,60,template_mid_size
36,4,120000,60,template_mid_size
36,5,60000,24,template_mid_size
36,6,120000,84,template_mid_size
36,9,15000,12,template_mid_size
36,10,30000,24,template_mid_size
36,11,15000,12,template_mid_size
36,12,60000,48,template_mid_size
36,13,50000,,template_mid_size
36,14,70000,,template_mid_size
36,15,100000,,template_mid_size
36,18,100000,72,template_mid_size
36,19,80000,60,template_mid_size
36,21,60000,60,template_mid_size
36,23,,48,template_mid_size
36,25,,12,template_mid_size
36,26,,12,template_mid_size
36,28,15000,12,template_mid_size
36,30,20000,,template_mid_size
36,31,,6,template_mid_size
36,32,,24,template_mid_size
37,1,15000,12,template_economy
37,4,80000,60,template_economy
37,5,60000,24,template_economy
37,9,15000,12,template_economy
37,10,30000,24,template_economy
37,11,15000,12,template_economy
37,12,60000,48,template_economy
37,13,40000,,template_economy
37,14,60000,,template_economy
37,15,80000,,template_economy
37,18,90000,72,template_economy
37,19,60000,60,template_economy
37,21,30000,36,template_economy
37,23,,48,template_economy
37,25,,12,template_economy
37,26,,12,template_economy
37,28,15000,12,template_economy
37,30,20000,,template_economy
37,31,,6,template_economy
37,32,,24,template_economy
38,1,15000,12,template_mid_size
38,2,80000,60,template_mid_size
38,4,120000,60,template_mid_size
38,5,60000,24,template_mid_size
38,6,120000,84,template_mid_size
38,9,15000,12,template_mid_size
38,10,30000,24,template_mid_size
38,11,15000,12,template_mid_size
38,12,60000,48,template_mid_size
38,13,50000,,template_mid_size
38,14,70000,,template_mid_size
38,15,100000,,template_mid_size
38,18,100000,72,template_mid_size
38,19,80000,60,template_mid_size
38,21,60000,60,template_mid_size
38,23,,48,template_mid_size
38,25,,12,template_mid_size
38,26,,12,template_mid_size
38,28,15000,12,template_mid_size
38,30,20000,,template_mid_size
38,31,,6,template_mid_size
38,32,,24,template_mid_size
39,1,15000,12,template_mid_size
39,2,80000,60,template_mid_size
39,4,120000,60,template_mid_size
39,5,60000,24,template_mid_size
39,6,120000,84,template_mid_size
39,9,15000,12,template_mid_size
39,10,30000,24,template_mid_size
39,11,15000,12,template_mid_size
39,12,60000,48,template_mid_size
39,13,50000,,template_mid_size
39,14,70000,,template_mid_size
39,15,100000,,template_mid_size
39,18,100000,72,template_mid_size
39,19,80000,60,template_mid_size
39,21,60000,60,template_mid_size
39,23,,48,template_mid_size
39,25,,12,template_mid_size
39,26,,12,template_mid_size
39,28,15000,12,template_mid_size
39,30,20000,,template_mid_size
39,31,,6,template_mid_size
39,32,,24,template_mid_size
40,1,15000,12,template_mid_size
40,2,80000,60,template_mid_size
40,4,120000,60,template_mid_size
40,5,60000,24,template_mid_size
40,6,120000,84,template_mid_size
40,9,15000,12,template_mid_size
40,10,30000,24,template_mid_size
40,11,15000,12,template_mid_size
40,12,60000,48,template_mid_size
40,13,50000,,template_mid_size
40,14,70000,,template_mid_size
40,15,100000,,template_mid_size
40,18,100000,72,template_mid_size
40,19,80000,60,template_mid_size
40,21,60000,60,template_mid_size
40,23,,48,template_mid_size
40,25,,12,template_mid_size
40,26,,12,template_mid_size
40,28,15000,12,template_mid_size
40,30,20000,,template_mid_size
40,31,,6,template_mid_size
40,32,,24,template_mid_size
41,1,15000,12,template_crossover
41,2,60000,48,template_crossover
41,4,80000,48,template_crossover
41,5,60000,24,template_crossover
41,7,60000,60,template_crossover
41,9,15000,12,template_crossover
41,10,30000,24,template_crossover
41,11,15000,12,template_crossover
41,12,60000,48,template_crossover
41,13,50000,,template_crossover
41,14,70000,,template_crossover
41,15,100000,,template_crossover
41,18,100000,72,template_crossover
41,19,80000,60,template_crossover
41,21,60000,60,template_crossover
41,23,,48,template_crossover
41,25,,12,template_crossover
41,26,,12,template_crossover
41,28,15000,12,template_crossover
41,29,30000,,template_crossover
41,30,20000,,template_crossover
41,31,,6,template_crossover
41,32,,24,template_crossover
42,1,15000,12,template_crossover
42,2,60000,48,template_crossover
42,4,80000,48,template_crossover
42,5,60000,24,template_crossover
42,7,60000,60,template_crossover
42,9,15000,12,template_crossover
42,10,30000,24,template_crossover
42,11,15000,12,template_crossover
42,12,60000,48,template_crossover
42,13,50000,,template_crossover
42,14,70000,,template_crossover
42,15,100000,,template_crossover
42,18,100000,72,template_crossover
42,19,80000,60,template_crossover
42,21,60000,60,template_crossover
42,23,,48,template_crossover
42,25,,12,template_crossover
42,26,,12,template_crossover
42,28,15000,12,template_crossover
42,29,30000,,template_crossover
42,30,20000,,template_crossover
42,31,,6,template_crossover
42,32,,24,template_crossover
43,1,15000,12,template_crossover
43,2,60000,48,template_crossover
43,4,80000,48,template_crossover
43,5,60000,24,template_crossover
43,7,60000,60,template_crossover
43,9,15000,12,template_crossover
43,10,30000,24,template_crossover
43,11,15000,12,template_crossover
43,12,60000,48,template_crossover
43,13,50000,,template_crossover
43,14,70000,,template_crossover
43,15,100000,,template_crossover
43,18,100000,72,template_crossover
43,19,80000,60,template_crossover
43,21,60000,60,template_crossover
43,23,,48,template_crossover
43,25,,12,template_crossover
43,26,,12,template_crossover
43,28,15000,12,template_crossover
43,29,30000,,template_crossover
43,30,20000,,template_crossover
43,31,,6,template_crossover
43,32,,24,template_crossover
44,1,15000,12,template_crossover
44,2,60000,48,template_crossover
44,4,80000,48,template_crossover
44,5,60000,24,template_crossover
44,7,60000,60,template_crossover
44,9,15000,12,template_crossover
44,10,30000,24,template_crossover
44,11,15000,12,template_crossover
44,12,60000,48,template_crossover
44,13,50000,,template_crossover
44,14,70000,,template_crossover
44,15,100000,,template_crossover
44,18,100000,72,template_crossover
44,19,80000,60,template_crossover
44,21,60000,60,template_crossover
44,23,,48,template_crossover
44,25,,12,template_crossover
44,26,,12,template_crossover
44,28,15000,12,template_crossover
44,29,30000,,template_crossover
44,30,20000,,template_crossover
44,31,,6,template_crossover
44,32,,24,template_crossover
45,1,15000,12,template_economy
45,4,80000,60,template_economy
45,5,60000,24,template_economy
45,9,15000,12,template_economy
45,10,30000,24,template_economy
45,11,15000,12,template_economy
45,12,60000,48,template_economy
