modification_id,axle,size_code,is_default
100,both,225/60 R17,true
101,both,225/60 R17,true
102,both,225/60 R17,true
103,both,195/55 R16,true
104,both,195/55 R16,true
105,both,195/55 R16,true
106,both,195/55 R16,true
107,both,205/55 R16,true
108,both,205/55 R16,true
109,both,205/55 R16,true
110,both,205/55 R16,true
111,both,225/50 R17,true
112,both,225/50 R17,true
113,both,225/60 R17,true
114,both,225/60 R17,true
115,both,235/55 R19,true
116,both,235/55 R19,true
117,both,225/60 R17,true
118,both,225/60 R17,true
119,both,235/55 R18,true
120,both,235/55 R18,true
121,both,225/60 R17,true
122,both,225/60 R17,true
123,both,205/55 R16,true
124,both,205/55 R16,true
125,both,225/50 R17,true
126,both,225/50 R17,true
127,both,225/60 R17,true
128,both,225/60 R17,true
129,both,225/60 R17,true
130,both,225/60 R17,true
131,both,235/55 R18,true
132,both,235/55 R18,true
133,both,205/55 R16,true
134,both,205/55 R16,true
135,both,195/55 R16,true
136,both,195/55 R16,true
137,both,225/60 R17,true
138,both,225/60 R17,true
139,both,195/55 R16,true
140,both,195/55 R16,true
141,both,195/55 R16,true
142,both,195/55 R16,true
143,both,225/60 R17,true
144,both,225/60 R17,true
145,both,195/55 R16,true
146,both,195/55 R16,true
147,both,185/60 R15,true
148,both,185/60 R15,true
149,both,205/55 R16,true
150,both,205/55 R16,true
151,both,185/60 R15,true
152,both,185/60 R15,true
153,both,205/55 R16,true
154,both,205/55 R16,true
155,both,225/50 R17,true
156,both,225/50 R17,true
157,both,195/55 R16,true
158,both,195/55 R16,true
159,both,225/60 R17,true
160,both,225/60 R17,true
161,both,225/60 R17,true
162,both,225/60 R17,true
163,both,235/55 R19,true
164,both,225/60 R17,true
165,both,225/60 R17,true
166,both,245/35 R19,true
167,both,275/30 R20,true
168,both,205/55 R16,true
169,both,205/55 R16,true
170,both,195/55 R16,true
171,both,195/55 R16,true
172,both,205/55 R16,true
173,both,205/55 R16,true
174,both,265/60 R18,true
175,both,285/55 R20,true
176,both,225/60 R17,true
177,both,225/60 R17,true
178,both,265/60 R18,true
179,both,285/55 R20,true
180,both,245/35 R19,true
181,both,275/30 R20,true
182,both,245/45 R18,true
183,both,245/45 R18,true
184,both,245/35 R19,true
185,both,275/30 R20,true
186,both,245/65 R17,true
187,both,245/65 R17,true
188,both,265/60 R18,true
189,both,285/55 R20,true
190,both,245/45 R18,true
191,both,245/45 R18,true
192,both,235/55 R18,true
193,both,235/55 R18,true
194,both,285/55 R20,true
195,both,225/60 R17,true
196,both,225/60 R17,true
197,both,285/55 R20,true
198,both,225/60 R17,true
199,both,225/60 R17,true
200,both,225/60 R17,true
201,both,225/60 R17,true
202,both,195/55 R16,true
203,both,195/55 R16,true
204,both,225/60 R17,true
205,both,225/60 R17,true
206,both,195/55 R16,true
207,both,195/55 R16,true
208,both,185/60 R15,true
209,both,185/60 R15,true
210,both,185/60 R15,true
211,both,185/60 R15,true
212,both,205/55 R16,true
213,both,205/55 R16,true
214,both,225/50 R17,true
215,both,225/50 R17,true
216,both,245/45 R18,true
217,both,225/60 R17,true
218,both,225/60 R17,true
219,both,285/55 R20,true
220,both,285/55 R20,true
221,both,265/60 R18,true
222,both,265/60 R18,true
223,both,235/55 R19,true
224,both,245/65 R17,true
225,both,245/65 R17,true
226,both,265/60 R18,true
227,both,265/60 R18,true
228,both,225/60 R17,true
229,both,225/60 R17,true
230,both,195/55 R16,true
231,both,195/55 R16,true
232,both,205/55 R16,true
233,both,205/55 R16,true
234,both,225/50 R17,true
235,both,225/50 R17,true
236,both,235/55 R18,true
237,both,235/55 R18,true
238,both,225/45 R17,true
239,both,225/50 R17,true
240,both,225/60 R17,true
241,both,225/60 R17,true
242,both,225/60 R17,true
243,both,225/60 R17,true
244,both,225/60 R17,true
245,both,195/55 R16,true
246,both,195/55 R16,true
247,both,235/55 R18,true
248,both,235/55 R18,true
249,both,205/55 R16,true
250,both,205/55 R16,true
251,both,225/50 R17,true
252,both,225/50 R17,true
253,both,225/60 R17,true
254,both,225/60 R17,true
255,both,225/60 R17,true
256,both,225/60 R17,true
257,both,225/60 R17,true
258,both,225/60 R17,true
259,both,245/35 R19,true
260,both,275/30 R20,true
261,both,225/60 R17,true
262,both,225/60 R17,true
263,both,225/60 R17,true
264,both,205/55 R16,true
265,both,205/55 R16,true
266,both,225/60 R17,true
267,both,225/60 R17,true
268,both,225/50 R17,true
269,both,225/50 R17,true
270,front,245/40 R18,true
270,rear,245/40 R18,true
271,front,245/40 R18,true
271,rear,245/40 R18,true
272,both,195/55 R16,true
273,both,195/55 R16,true
274,both,225/60 R17,true
275,both,225/60 R17,true
276,both,225/60 R17,true
277,both,225/60 R17,true
278,both,225/60 R17,true
279,both,225/60 R17,true
280,both,285/55 R20,true
281,both,225/60 R17,true
282,both,225/60 R17,true
283,both,225/60 R17,true
284,both,225/60 R17,true
285,both,195/55 R16,true
286,both,195/55 R16,true
287,both,205/55 R16,true
288,both,205/55 R16,true
289,both,225/60 R17,true
290,both,225/60 R17,true
291,front,255/40 R20,true
291,rear,285/35 R20,true
292,front,255/40 R20,true
292,rear,285/35 R20,true
293,both,205/55 R16,true
294,both,205/55 R16,true
295,both,205/55 R16,true
296,both,225/60 R17,true
297,both,225/60 R17,true
298,both,225/60 R17,true
299,both,225/60 R17,true
300,both,265/60 R18,true
301,both,285/55 R20,true
302,both,265/60 R18,true
303,both,265/60 R18,true
304,both,245/65 R17,true
305,both,245/65 R17,true
306,both,225/60 R17,true
307,both,225/60 R17,true
308,both,225/60 R17,true
309,both,225/60 R17,true
310,both,225/60 R17,true
311,both,225/60 R17,true
312,both,265/60 R18,true
313,both,285/55 R20,true
314,both,195/55 R16,true
315,both,195/55 R16,true
316,both,265/60 R18,true
317,both,285/55 R20,true
318,both,225/60 R17,true
319,both,225/60 R17,true
320,both,245/65 R17,true
321,both,245/65 R17,true
322,both,265/60 R18,true
323,both,285/55 R20,true
324,both,195/55 R16,true
325,both,195/55 R16,true
326,both,195/55 R16,true
327,both,195/55 R16,true
328,both,195/55 R16,true
329,both,195/55 R16,true
330,both,195/55 R16,true
331,both,195/55 R16,true
332,both,205/55 R16,true
333,both,205/55 R16,true
334,both,225/50 R17,true
335,both,225/50 R17,true
336,both,215/65 R16,true
337,both,225/60 R17,true
338,both,225/60 R17,true
339,both,225/60 R17,true
340,both,225/60 R17,true
341,both,235/55 R19,true
342,both,235/55 R19,true
343,both,235/55 R19,true
344,both,225/60 R17,true
345,both,225/60 R17,true
346,both,205/55 R16,true
347,both,205/55 R16,true
348,both,205/55 R16,true
349,both,205/55 R16,true
350,both,235/55 R18,true
351,both,235/55 R18,true
352,both,195/55 R16,true
353,both,195/55 R16,true
354,both,205/55 R16,true
355,both,205/55 R16,true
356,both,225/50 R17,true
357,both,225/50 R17,true
358,both,225/60 R17,true
359,both,225/60 R17,true
360,both,225/60 R17,true
361,both,225/60 R17,true
362,both,195/55 R16,true
363,both,195/55 R16,true
364,both,185/60 R15,true
365,both,185/60 R15,true
366,both,265/60 R18,true
367,both,285/55 R20,true
368,both,245/45 R18,true
369,both,245/45 R18,true
370,both,205/55 R16,true
371,both,205/55 R16,true
372,both,235/55 R18,true
373,both,235/55 R18,true
374,both,215/65 R16,true
375,both,225/60 R17,true
376,both,225/50 R17,true
377,both,225/50 R17,true
378,both,225/60 R17,true
379,both,225/60 R17,true
380,both,265/60 R18,true
381,both,285/55 R20,true
382,both,265/60 R18,true
383,both,285/55 R20,true
384,both,195/55 R16,true
385,both,195/55 R16,true
386,both,185/60 R15,true
387,both,185/60 R15,true
388,both,195/55 R16,true
389,both,195/55 R16,true
390,both,225/60 R17,true
391,both,235/55 R19,true
392,both,235/55 R19,true
393,both,225/60 R17,true
394,both,235/55 R19,true
395,both,235/55 R19,true
396,both,205/55 R16,true
397,both,205/55 R16,true
398,both,225/50 R17,true
399,both,225/50 R17,true
400,both,225/60 R17,true
401,both,225/60 R17,true
402,both,225/60 R17,true
403,both,225/60 R17,true
404,both,215/65 R16,true
405,both,225/60 R17,true
406,both,225/60 R17,true
407,both,225/60 R17,true
408,both,225/60 R17,true
409,both,235/55 R19,true
410,both,235/55 R19,true
411,both,225/50 R17,true
412,both,225/50 R17,true
413,both,225/60 R17,true
414,both,225/60 R17,true
415,both,225/60 R17,true
416,both,225/60 R17,true
417,both,225/60 R17,true
418,both,225/60 R17,true
419,both,225/60 R17,true
420,both,225/60 R17,true
421,both,265/60 R18,true
422,both,285/55 R20,true
423,both,225/60 R17,true
424,both,225/60 R17,true
425,both,225/60 R17,true
426,both,245/65 R17,true
427,both,245/65 R17,true
428,both,265/60 R18,true
429,both,285/55 R20,true
430,both,245/65 R17,true
431,both,245/65 R17,true
432,both,225/60 R17,true
433,both,225/60 R17,true
434,both,235/55 R19,true
435,both,225/60 R17,true
436,both,225/60 R17,true
437,both,225/60 R17,true
438,both,225/60 R17,true
439,both,225/50 R17,true
440,both,225/50 R17,true
441,both,205/55 R16,true
442,both,205/55 R16,true
443,both,195/55 R16,true
444,both,195/55 R16,true
445,both,225/60 R17,true
446,both,235/55 R19,true
447,both,225/60 R17,true
448,both,235/55 R19,true
449,both,225/60 R17,true
450,both,225/60 R17,true
451,both,225/60 R17,true
452,both,225/60 R17,true
453,both,225/60 R17,true
454,both,205/55 R16,true
455,both,205/55 R16,true
456,both,225/60 R17,true
457,both,225/60 R17,true
458,both,225/60 R17,true
459,both,225/60 R17,true
460,both,225/60 R17,true
461,both,265/60 R18,true
462,both,285/55 R20,true
463,both,265/60 R18,true
464,both,285/55 R20,true
465,both,225/50 R17,true
466,both,225/50 R17,true
467,both,275/40 R20,true
468,both,275/35 R21,true
469,both,225/60 R17,true
470,both,225/60 R17,true
471,both,285/55 R20,true
472,both,225/60 R17,true
473,both,225/60 R17,true
474,both,225/60 R17,true
475,both,225/60 R17,true
476,both,235/55 R18,true
477,both,235/55 R18,true
478,both,225/60 R17,true
479,both,225/60 R17,true
480,both,225/60 R17,true
481,both,225/60 R17,true
482,both,225/60 R17,true
483,both,225/60 R17,true
484,both,245/65 R17,true
485,both,245/65 R17,true
486,both,245/65 R17,true
487,both,245/65 R17,true
488,both,265/60 R18,true
489,both,285/55 R20,true
490,both,265/60 R18,true
491,both,285/55 R20,true
492,both,265/60 R18,true
493,both,285/55 R20,true
494,both,225/60 R17,true
495,both,225/60 R17,true
496,both,225/60 R17,true
497,both,225/60 R17,true
498,both,225/60 R17,true
499,both,225/60 R17,true
500,both,205/55 R16,true
501,both,205/55 R16,true
502,both,225/60 R17,true
503,both,275/35 R20,true
504,both,235/55 R19,true
505,both,235/55 R19,true
506,both,245/45 R18,true
507,both,185/60 R15,true
508,both,225/60 R17,true
509,both,225/60 R17,true
510,both,205/55 R16,true
511,both,205/55 R16,true
512,both,225/60 R17,true
513,both,225/60 R17,true
514,both,195/55 R16,true
515,both,195/55 R16,true
516,both,225/60 R17,true
517,both,225/60 R17,true
518,both,225/60 R17,true
519,both,225/60 R17,true
520,both,225/60 R17,true
521,both,225/60 R17,true
522,both,225/60 R17,true
523,both,225/60 R17,true
524,both,225/60 R17,true
525,both,225/60 R17,true
526,both,265/60 R18,true
527,both,285/55 R20,true
528,both,225/60 R17,true
529,both,225/60 R17,true
530,both,235/55 R19,true
531,both,235/55 R19,true
532,both,235/55 R19,true
533,both,235/55 R19,true
534,both,235/55 R19,true
535,both,235/55 R19,true
536,both,235/55 R19,true
537,both,245/45 R18,true
538,both,275/35 R20,true
539,both,245/45 R18,true
540,both,255/50 R19,true
541,both,235/55 R19,true
542,both,235/55 R19,true
543,both,275/35 R20,true
544,both,225/60 R17,true
545,both,225/60 R17,true
546,both,225/60 R17,true
547,both,225/60 R17,true
548,both,285/55 R20,true
549,both,225/60 R17,true
550,both,235/55 R19,true
551,both,235/55 R19,true
552,both,225/60 R17,true
553,both,225/60 R17,true
554,both,225/60 R17,true
555,both,225/60 R17,true
556,both,205/55 R16,true
557,both,205/55 R16,true
558,both,235/55 R19,true
559,both,255/50 R19,true
560,both,235/55 R19,true
561,both,275/35 R20,true
562,both,235/55 R19,true
563,both,235/55 R19,true
564,both,275/35 R21,true
565,both,235/55 R19,true
566,both,235/55 R19,true
567,both,275/35 R20,true
568,both,175/65 R14,true
569,both,225/60 R17,true
570,both,225/60 R17,true
571,both,225/60 R17,true
572,both,225/60 R17,true
573,both,205/55 R16,true
574,both,205/55 R16,true
575,both,205/55 R16,true
576,both,205/55 R16,true
577,both,205/55 R16,true
578,both,205/55 R16,true
579,both,205/55 R16,true
580,both,205/55 R16,true
581,both,225/50 R17,true
582,both,245/45 R18,true
583,both,245/45 R18,true
584,both,225/50 R17,true
585,both,225/50 R17,true
586,both,245/45 R18,true
587,both,275/35 R20,true
588,both,245/45 R18,true
589,both,245/45 R18,true
590,both,275/40 R20,true
591,both,275/35 R21,true
592,both,275/40 R20,true
593,both,275/35 R21,true
594,both,225/60 R17,true
595,both,225/60 R17,true
596,both,225/60 R17,true
597,both,225/60 R17,true
598,both,225/60 R17,true
599,both,235/55 R19,true
600,both,225/60 R17,true
601,both,225/60 R17,true
602,both,235/55 R19,true
603,both,235/55 R19,true
604,both,235/55 R19,true
605,both,225/60 R17,true
606,both,225/60 R17,true
607,both,235/55 R19,true
608,both,235/55 R19,true
609,front,225/45 R18,true
609,rear,255/40 R18,true
610,front,225/45 R18,true
610,rear,255/40 R18,true
611,front,275/35 R19,true
611,rear,285/30 R20,true
612,front,275/35 R19,true
612,rear,285/30 R20,true
613,front,275/35 R20,true
613,rear,285/35 R20,true
614,front,275/35 R20,true
614,rear,285/35 R20,true
615,both,235/55 R19,true
616,both,275/35 R20,true
617,both,205/55 R16,true
618,both,205/55 R16,true
619,both,205/55 R16,true
620,both,205/55 R16,true
621,both,225/50 R17,true
622,both,245/45 R18,true
623,both,225/55 R17,true
624,both,275/35 R20,true
625,both,275/40 R20,true
626,both,275/35 R21,true
627,both,205/55 R16,true
628,both,205/55 R16,true
629,both,245/45 R18,true
630,both,245/45 R18,true
631,both,225/60 R17,true
632,both,225/60 R17,true
633,both,225/60 R17,true
634,both,225/60 R17,true
635,both,235/55 R19,true
636,both,225/60 R17,true
637,both,235/55 R19,true
638,both,235/55 R19,true
639,both,225/60 R17,true
640,both,225/60 R17,true
641,both,285/55 R20,true
642,both,285/55 R20,true
643,both,235/55 R18,true
644,both,235/55 R18,true
645,both,275/35 R21,true
646,front,265/35 R19,true
646,rear,295/35 R19,true
647,front,265/35 R19,true
647,rear,295/35 R19,true
648,both,195/55 R16,true
649,both,195/55 R16,true
650,both,205/55 R16,true
651,both,205/55 R16,true
652,both,225/50 R17,true
653,both,245/45 R18,true
654,both,225/50 R17,true
655,both,225/50 R17,true
656,both,245/45 R18,true
657,both,275/35 R20,true
658,both,245/45 R18,true
659,both,245/45 R18,true
660,both,275/40 R20,true
661,both,275/35 R21,true
662,both,225/60 R17,true
663,both,225/60 R17,true
664,both,235/55 R19,true
665,both,235/55 R19,true
666,both,235/55 R19,true
667,both,235/55 R19,true
668,both,235/55 R19,true
669,both,235/55 R19,true
670,front,285/30 R22,true
670,rear,285/30 R22,true
671,front,285/30 R22,true
671,rear,285/30 R22,true
672,front,245/35 R20,true
672,rear,305/30 R20,true
673,front,245/35 R20,true
673,rear,305/30 R20,true
674,front,235/35 R20,true
674,rear,265/35 R20,true
675,front,235/35 R20,true
675,rear,265/35 R20,true
676,front,235/35 R20,true
676,rear,265/35 R20,true
677,front,235/35 R20,true
677,rear,265/35 R20,true
678,both,235/55 R19,true
679,front,285/40 R21,true
679,rear,315/35 R21,true
680,front,285/40 R21,true
680,rear,315/35 R21,true
681,both,235/55 R19,true
682,both,235/55 R19,true
683,both,275/40 R20,true
684,front,275/40 R20,true
684,rear,315/35 R20,true
685,front,245/45 R20,true
685,rear,285/40 R20,true
686,front,245/45 R20,true
686,rear,285/40 R20,true
687,both,245/45 R18,true
688,both,245/45 R18,true
689,both,225/50 R17,true
690,both,225/50 R17,true
691,both,275/40 R20,true
692,both,275/35 R21,true
693,both,235/55 R19,true
694,both,235/55 R19,true
695,both,235/55 R19,true
696,both,265/60 R18,true
697,both,285/55 R20,true
698,both,285/55 R20,true
699,both,225/60 R17,true
700,both,225/60 R17,true
701,both,225/50 R17,true
702,both,225/50 R17,true
703,both,285/55 R20,true
704,both,285/55 R20,true
705,both,225/60 R17,true
706,both,225/60 R17,true
707,both,225/60 R17,true
708,both,225/60 R17,true
709,both,235/55 R19,true
710,both,235/55 R19,true
711,both,235/55 R19,true
712,both,225/60 R17,true
713,both,225/60 R17,true
714,both,225/60 R17,true
715,both,225/60 R17,true
716,both,225/60 R17,true
717,both,225/60 R17,true
718,both,265/60 R18,true
719,both,285/55 R20,true
720,both,225/60 R17,true
721,both,225/60 R17,true
722,both,275/40 R20,true
723,both,275/35 R21,true
724,both,225/50 R17,true
725,both,225/50 R17,true
726,both,245/45 R18,true
727,both,245/45 R18,true
728,both,225/50 R17,true
729,both,225/50 R17,true
730,both,245/45 R18,true
731,both,245/45 R18,true
732,both,225/60 R17,true
733,both,225/60 R17,true
734,both,225/60 R17,true
735,both,225/60 R17,true
736,both,225/60 R17,true
737,both,225/60 R17,true
738,both,225/60 R17,true
739,both,225/60 R17,true
740,both,235/55 R19,true
741,both,225/60 R17,true
742,both,225/60 R17,true
743,both,285/55 R20,true
744,both,225/50 R17,true
745,both,225/50 R17,true
746,both,245/45 R18,true
747,both,245/45 R18,true
748,both,225/60 R17,true
749,both,225/60 R17,true
750,both,225/60 R17,true
751,both,225/60 R17,true
752,both,235/55 R19,true
753,both,225/50 R17,true
754,both,225/50 R17,true
755,both,245/45 R18,true
756,both,245/45 R18,true
757,both,275/40 R20,true
758,both,275/35 R21,true
759,front,255/35 R20,true
759,rear,295/30 R20,true
760,front,255/35 R20,true
760,rear,295/30 R20,true
761,both,225/50 R17,true
762,both,225/50 R17,true
763,both,245/45 R18,true
764,both,245/45 R18,true
765,both,275/40 R20,true
766,both,275/35 R21,true
767,both,225/60 R17,true
768,both,225/60 R17,true
769,both,225/60 R17,true
770,both,225/60 R17,true
771,both,235/55 R19,true
772,both,275/35 R21,true
773,both,245/45 R18,true
774,both,245/45 R18,true
775,both,235/55 R19,true
776,both,235/55 R19,true
777,both,235/55 R19,true
778,both,265/65 R18,true
779,both,225/60 R17,true
780,both,225/60 R17,true
781,both,265/60 R18,true
782,both,285/55 R20,true
783,both,225/60 R17,true
784,both,225/60 R17,true
785,both,225/60 R17,true
786,both,225/60 R17,true
787,front,275/40 R21,true
787,rear,315/35 R21,true
788,front,275/40 R21,true
788,rear,315/35 R21,true
789,both,225/60 R17,true
790,both,225/60 R17,true
791,both,275/40 R20,true
792,both,275/35 R21,true
793,both,275/40 R20,true
794,both,275/35 R21,true
795,both,275/40 R20,true
796,both,275/35 R21,true
797,both,275/40 R20,true
798,both,275/35 R21,true
799,both,265/60 R18,true
800,both,285/55 R20,true
801,front,255/40 R23,true
801,rear,295/35 R23,true
802,front,255/40 R23,true
802,rear,295/35 R23,true
803,front,255/45 R21,true
803,rear,285/40 R21,true
804,front,255/45 R21,true
804,rear,285/40 R21,true
805,front,255/40 R20,true
805,rear,295/35 R20,true
806,front,255/40 R20,true
806,rear,295/35 R20,true
807,front,255/40 R20,true
807,rear,295/35 R20,true
808,front,255/40 R20,true
808,rear,295/35 R20,true
809,front,265/35 R21,true
809,rear,305/30 R21,true
810,front,265/35 R21,true
810,rear,305/30 R21,true
811,both,225/60 R17,true
812,both,225/60 R17,true
813,front,245/40 R20,true
813,rear,295/35 R20,true
814,front,245/40 R20,true
814,rear,295/35 R20,true
815,front,245/35 R20,true
815,rear,305/35 R20,true
816,front,245/35 R20,true
816,rear,305/35 R20,true
817,front,245/35 R20,true
817,rear,305/30 R20,true
818,front,245/35 R20,true
818,rear,305/30 R20,true
819,front,245/35 R20,true
819,rear,285/35 R20,true
820,front,245/35 R20,true
820,rear,285/35 R20,true
821,front,255/35 R20,true
821,rear,315/30 R20,true
822,front,255/35 R20,true
822,rear,315/30 R20,true
823,front,255/40 R22,true
823,rear,315/35 R23,true
824,front,255/40 R22,true
824,rear,315/35 R23,true
825,front,275/35 R20,true
825,rear,315/35 R20,true
826,front,275/35 R20,true
826,rear,315/35 R20,true
827,front,245/35 R20,true
827,rear,285/35 R20,true
828,front,245/35 R20,true
828,rear,285/35 R20,true
829,front,245/30 R20,true
829,rear,305/30 R20,true
830,front,245/30 R20,true
830,rear,305/30 R20,true
831,front,255/30 R20,true
831,rear,355/25 R21,true
832,front,255/30 R20,true
832,rear,355/25 R21,true
833,front,285/40 R22,true
833,rear,325/35 R22,true
834,front,285/40 R22,true
834,rear,325/35 R22,true
835,front,265/35 R20,true
835,rear,345/30 R21,true
836,front,265/35 R20,true
836,rear,345/30 R21,true
837,both,245/45 R18,true
838,both,245/45 R18,true
839,both,275/40 R20,true
840,both,275/35 R21,true
841,both,225/60 R17,true
842,both,225/60 R17,true
843,both,225/60 R17,true
844,both,225/60 R17,true
845,front,245/35 R20,true
845,rear,305/30 R20,true
846,front,245/35 R20,true
846,rear,305/30 R20,true
847,front,245/35 R19,true
847,rear,305/30 R20,true
848,front,245/35 R19,true
848,rear,305/30 R20,true
849,front,225/35 R20,true
849,rear,295/30 R21,true
850,front,225/35 R20,true
850,rear,295/30 R21,true
851,front,235/35 R19,true
851,rear,295/35 R20,true
852,front,235/35 R19,true
852,rear,295/35 R20,true
853,front,285/30 R20,true
853,rear,355/25 R21,true
854,front,285/30 R20,true
854,rear,355/25 R21,true
855,front,245/35 R20,true
855,rear,295/30 R20,true
856,front,245/35 R20,true
856,rear,295/30 R20,true
857,both,235/55 R19,true
858,both,225/50 R17,true
859,both,225/50 R17,true
860,both,225/60 R17,true
861,both,225/60 R17,true
862,both,225/60 R17,true
863,both,225/60 R17,true
864,both,225/50 R17,true
865,both,225/50 R17,true
866,both,225/60 R17,true
867,both,225/60 R17,true
868,both,225/60 R17,true
869,both,225/60 R17,true
870,both,195/55 R16,true
871,both,195/55 R16,true
872,both,205/55 R16,true
873,both,205/55 R16,true
874,both,225/60 R17,true
875,both,225/60 R17,true
